"mode","variant","run_id","wall_ms","wallet_cpu_ms","current_height","total_height","node_height","tip_hash","actual_balance","pending_balance","transaction_count","transfer_count","state_hash","pq_outputs","v2_attempts","legacy_t0_attempts","legacy_window_trials","recognized_outputs","phase","pair","sequence","daemon_cpu_ms","combined_cpu_ms"
"rpc","baseline64","warmup-01-001","3018.372","2187.5","14804","14804","14803","4c39637697abc341c718b9adcfc623c7ad7ed8a74aaf32dfa09d814daa458fb3","0","0","0","0","30ca0e01a876e39d11accc97ec8e33278774d6ec608064c0a3ff8ec33f2c900b","2832","2832","2832","178416","0","warmup","1","1","1156.25","3343.75"
"rpc","candidate1","warmup-01-002","2104.127","1171.875","14804","14804","14803","4c39637697abc341c718b9adcfc623c7ad7ed8a74aaf32dfa09d814daa458fb3","0","0","0","0","30ca0e01a876e39d11accc97ec8e33278774d6ec608064c0a3ff8ec33f2c900b","2832","2832","2832","0","0","warmup","1","2","1296.875","2468.75"
"rpc","candidate1","warmup-02-003","2019.028","1000","14804","14804","14803","4c39637697abc341c718b9adcfc623c7ad7ed8a74aaf32dfa09d814daa458fb3","0","0","0","0","30ca0e01a876e39d11accc97ec8e33278774d6ec608064c0a3ff8ec33f2c900b","2832","2832","2832","0","0","warmup","2","3","1328.125","2328.125"
"rpc","baseline64","warmup-02-004","3095.193","2140.625","14804","14804","14803","4c39637697abc341c718b9adcfc623c7ad7ed8a74aaf32dfa09d814daa458fb3","0","0","0","0","30ca0e01a876e39d11accc97ec8e33278774d6ec608064c0a3ff8ec33f2c900b","2832","2832","2832","178416","0","warmup","2","4","1343.75","3484.375"
"rpc","baseline64","recorded-01-005","3459.741","2343.75","14804","14804","14803","4c39637697abc341c718b9adcfc623c7ad7ed8a74aaf32dfa09d814daa458fb3","0","0","0","0","30ca0e01a876e39d11accc97ec8e33278774d6ec608064c0a3ff8ec33f2c900b","2832","2832","2832","178416","0","recorded","1","5","1250","3593.75"
"rpc","candidate1","recorded-01-006","2032.023","984.375","14804","14804","14803","4c39637697abc341c718b9adcfc623c7ad7ed8a74aaf32dfa09d814daa458fb3","0","0","0","0","30ca0e01a876e39d11accc97ec8e33278774d6ec608064c0a3ff8ec33f2c900b","2832","2832","2832","0","0","recorded","1","6","1375","2359.375"
"rpc","candidate1","recorded-02-007","1980.628","906.25","14804","14804","14803","4c39637697abc341c718b9adcfc623c7ad7ed8a74aaf32dfa09d814daa458fb3","0","0","0","0","30ca0e01a876e39d11accc97ec8e33278774d6ec608064c0a3ff8ec33f2c900b","2832","2832","2832","0","0","recorded","2","7","1375","2281.25"
"rpc","baseline64","recorded-02-008","3123.882","2156.25","14804","14804","14803","4c39637697abc341c718b9adcfc623c7ad7ed8a74aaf32dfa09d814daa458fb3","0","0","0","0","30ca0e01a876e39d11accc97ec8e33278774d6ec608064c0a3ff8ec33f2c900b","2832","2832","2832","178416","0","recorded","2","8","1312.5","3468.75"
"rpc","baseline64","recorded-03-009","3067.927","2203.125","14804","14804","14803","4c39637697abc341c718b9adcfc623c7ad7ed8a74aaf32dfa09d814daa458fb3","0","0","0","0","30ca0e01a876e39d11accc97ec8e33278774d6ec608064c0a3ff8ec33f2c900b","2832","2832","2832","178416","0","recorded","3","9","1250","3453.125"
"rpc","candidate1","recorded-03-010","2049.106","1000","14804","14804","14803","4c39637697abc341c718b9adcfc623c7ad7ed8a74aaf32dfa09d814daa458fb3","0","0","0","0","30ca0e01a876e39d11accc97ec8e33278774d6ec608064c0a3ff8ec33f2c900b","2832","2832","2832","0","0","recorded","3","10","1453.125","2453.125"
"rpc","candidate1","recorded-04-011","2246.379","1218.75","14804","14804","14803","4c39637697abc341c718b9adcfc623c7ad7ed8a74aaf32dfa09d814daa458fb3","0","0","0","0","30ca0e01a876e39d11accc97ec8e33278774d6ec608064c0a3ff8ec33f2c900b","2832","2832","2832","0","0","recorded","4","11","1187.5","2406.25"
"rpc","baseline64","recorded-04-012","3411.029","2250","14804","14804","14803","4c39637697abc341c718b9adcfc623c7ad7ed8a74aaf32dfa09d814daa458fb3","0","0","0","0","30ca0e01a876e39d11accc97ec8e33278774d6ec608064c0a3ff8ec33f2c900b","2832","2832","2832","178416","0","recorded","4","12","1281.25","3531.25"
"rpc","baseline64","recorded-05-013","3039.674","2296.875","14804","14804","14803","4c39637697abc341c718b9adcfc623c7ad7ed8a74aaf32dfa09d814daa458fb3","0","0","0","0","30ca0e01a876e39d11accc97ec8e33278774d6ec608064c0a3ff8ec33f2c900b","2832","2832","2832","178416","0","recorded","5","13","1187.5","3484.375"
