"phase","sequence","pair","position","maxT","wall_ms","cpu_ms","balance","transactions","synced_height"
"recorded","4","0","0","64","1985.827","1984.375","800000","1","66"
"recorded","5","0","1","1","312.341","312.500","800000","1","66"
"recorded","6","1","0","1","299.377","296.875","800000","1","66"
"recorded","7","1","1","64","1994.838","1984.375","800000","1","66"
"recorded","8","2","0","64","2162.436","2156.250","800000","1","66"
"recorded","9","2","1","1","324.908","312.500","800000","1","66"
"recorded","10","3","0","1","306.846","312.500","800000","1","66"
"recorded","11","3","1","64","1975.337","1968.750","800000","1","66"
"recorded","12","4","0","64","2061.805","2031.250","800000","1","66"
"recorded","13","4","1","1","307.566","312.500","800000","1","66"
"recorded","14","5","0","1","306.049","296.875","800000","1","66"
"recorded","15","5","1","64","1969.977","1953.125","800000","1","66"
"recorded","16","6","0","64","2089.282","2078.125","800000","1","66"
"recorded","17","6","1","1","326.630","312.500","800000","1","66"
"recorded","18","7","0","1","296.836","281.250","800000","1","66"
"recorded","19","7","1","64","2040.906","2031.250","800000","1","66"
"recorded","20","8","0","64","2050.555","2031.250","800000","1","66"
"recorded","21","8","1","1","315.368","296.875","800000","1","66"
"recorded","22","9","0","1","341.238","343.750","800000","1","66"
"recorded","23","9","1","64","2072.837","2062.500","800000","1","66"
"recorded","24","10","0","64","2150.242","2140.625","800000","1","66"
"recorded","25","10","1","1","327.184","312.500","800000","1","66"
"recorded","26","11","0","1","307.382","312.500","800000","1","66"
"recorded","27","11","1","64","2128.257","2109.375","800000","1","66"
"recorded","28","12","0","64","2156.786","2140.625","800000","1","66"
"recorded","29","12","1","1","328.331","312.500","800000","1","66"
"recorded","30","13","0","1","298.003","296.875","800000","1","66"
"recorded","31","13","1","64","1964.716","1968.750","800000","1","66"
"recorded","32","14","0","64","1993.655","1984.375","800000","1","66"
"recorded","33","14","1","1","296.003","296.875","800000","1","66"
"recorded","34","15","0","1","296.239","296.875","800000","1","66"
"recorded","35","15","1","64","1943.200","1937.500","800000","1","66"
"recorded","36","16","0","64","2145.244","2140.625","800000","1","66"
"recorded","37","16","1","1","300.808","296.875","800000","1","66"
"recorded","38","17","0","1","310.164","296.875","800000","1","66"
"recorded","39","17","1","64","1985.673","1984.375","800000","1","66"
"recorded","40","18","0","64","1968.790","1984.375","800000","1","66"
"recorded","41","18","1","1","298.268","296.875","800000","1","66"
"recorded","42","19","0","1","296.044","296.875","800000","1","66"
"recorded","43","19","1","64","2014.852","1937.500","800000","1","66"
"recorded","44","20","0","64","2057.620","2046.875","800000","1","66"
"recorded","45","20","1","1","310.201","296.875","800000","1","66"
